Name/id,Position,Salary,Projection,Ratio
Dallas Goedert (20955971),TE,4400,15.9,3.41
Jalen Hurts (20955759),QB,6100,20.1,3.28
Patrick Mahomes (20955756),QB,7300,23.4,3.15
Jimmy Garoppolo (20955760),QB,5300,16.9,3.02
Dak Prescott (20955758),QB,6700,20.2,2.99
Darrel Williams (20955791),RB,5200,15.4,2.88
Travis Kelce (20955963),TE,6700,19.7,2.84
Tom Brady (20955757),QB,7200,20,2.78
George Kittle (20955967),TE,5800,16.8,2.76
Mike Evans (20955859),WR,7000,19.7,2.71
Amari Cooper (20955865),WR,5900,16.4,2.71
Diontae Johnson (20955861),WR,6700,18,2.69
Ben Roethlisberger (20955761),QB,5200,13,2.5
Deebo Samuel (20955855),WR,7900,19.4,2.41
DeVonta Smith (20955867),WR,5400,13.7,2.41
Rob Gronkowski (20955965),TE,6400,15.8,2.34
Tyreek Hill (20955857),WR,7300,17.4,2.33
Brandon Aiyuk (20955869),WR,5200,12.6,2.31
Najee Harris (20955777),RB,6600,15.9,2.27
CeeDee Lamb (20955863),WR,6300,14.6,2.22
Dalton Schultz (20955969),TE,5000,11.6,2.2
Chase Claypool (20955871),WR,4700,10,2.13
Buccaneers (20956035),DST,3400,7.2,2.06
Ray-Ray McCloud III (20955889),WR,3600,7.1,1.94
Cowboys (20956037),DST,3100,6.9,1.94
Tony Pollard (20955789),RB,5300,10.4,1.89
Cedrick Wilson (20955875),WR,4300,8,1.86
Chiefs (20956036),DST,3300,6.6,1.82
Byron Pringle (20955883),WR,3900,7.5,1.79
49ers (20956038),DST,2800,5.1,1.79
Pat Freiermuth (20955973),TE,4200,7.8,1.67
Steelers (20956040),DST,2400,4.5,1.67
Ezekiel Elliott (20955779),RB,6100,10.9,1.64
Jalen Reagor (20955897),WR,3100,5.1,1.61
Miles Sanders (20955793),RB,5000,8.9,1.6
Eagles (20956039),DST,2500,4.5,1.6
Quez Watkins (20955885),WR,3800,6.3,1.58
Breshad Perriman (20955873),WR,4600,7.7,1.52
Tyler Johnson (20955881),WR,4000,6.6,1.5
Mecole Hardman (20955879),WR,4100,6.3,1.46
Jauan Jennings (20955887),WR,3700,5.7,1.35